state,electoral_votes,CEW,NCEW,Black,Latino,A/O,votes_dem,votes_rep,,,,,,
AL,9,0.311,0.363,0.283,0.021,0.022,0.391,0.599,,,,,,
AK,3,0.322,0.429,0.029,0.081,0.139,0.416,0.541,,,,,,
AZ,11,0.36,0.369,0.039,0.187,0.045,0.451,0.531,,,,,,
AR,6,0.345,0.462,0.122,0.036,0.035,0.373,0.602,,,,,,
CA,55,0.302,0.24,0.078,0.228,0.152,0.608,0.366,,,,,,
CO,9,0.407,0.352,0.029,0.143,0.069,0.517,0.459,,,,,,
CT,7,0.513,0.265,0.12,0.069,0.034,0.587,0.401,,,,,,
DE,3,0.407,0.34,0.181,0.036,0.036,0.590,0.396,,,,,,
DC,3,0.373,0.019,0.524,0.061,0.023,0.907,0.075,,,,,,
FL,29,0.334,0.308,0.133,0.182,0.042,0.507,0.485,,,,,,
GA,16,0.319,0.307,0.314,0.033,0.026,0.465,0.523,,,,,,
HI,4,0.217,0.198,0.015,0.098,0.473,0.707,0.277,,,,,,
ID,4,0.325,0.558,0.014,0.07,0.032,0.332,0.640,,,,,,
IL,20,0.374,0.315,0.139,0.127,0.045,0.577,0.406,,,,,,
IN,11,0.425,0.406,0.082,0.063,0.023,0.444,0.537,,,,,,
IA,6,0.428,0.502,0.023,0.023,0.025,0.523,0.459,,,,,,
KS,6,0.438,0.423,0.051,0.054,0.033,0.383,0.594,,,,,,
KY,8,0.351,0.486,0.112,0.026,0.025,0.382,0.601,,,,,,
LA,8,0.301,0.341,0.295,0.051,0.012,0.413,0.570,,,,,,
ME,4,0.497,0.456,0.014,0.012,0.021,0.568,0.405,,,,,,
MD,10,0.366,0.203,0.287,0.08,0.065,0.631,0.348,,,,,,
MA,11,0.572,0.282,0.063,0.046,0.036,0.609,0.372,,,,,,
MI,16,0.403,0.364,0.155,0.032,0.046,0.543,0.447,,,,,,
MN,10,0.441,0.404,0.068,0.032,0.055,0.533,0.443,,,,,,
MS,6,0.25,0.344,0.364,0.03,0.011,0.442,0.548,,,,,,
MO,10,0.337,0.431,0.166,0.033,0.032,0.450,0.531,,,,,,
MT,3,0.391,0.481,0.022,0.046,0.06,0.425,0.545,,,,,,
NE,5,0.428,0.478,0.045,0.025,0.024,0.386,0.593,,,,,,
NV,6,0.283,0.325,0.095,0.198,0.099,0.530,0.450,,,,,,
NH,4,0.491,0.43,0.022,0.033,0.024,0.523,0.461,,,,,,
NJ,14,0.34,0.309,0.185,0.111,0.054,0.592,0.398,,,,,,
NM,5,0.245,0.24,0.02,0.38,0.114,0.536,0.422,,,,,,
NY,29,0.389,0.276,0.163,0.138,0.034,0.639,0.347,,,,,,
NC,15,0.35,0.342,0.233,0.043,0.032,0.491,0.497,,,,,,
ND,3,0.437,0.463,0.022,0.032,0.046,0.396,0.574,,,,,,
OH,18,0.367,0.413,0.151,0.034,0.036,0.509,0.475,,,,,,
OK,7,0.339,0.463,0.075,0.037,0.086,0.338,0.662,,,,,,
OR,7,0.449,0.422,0.01,0.043,0.077,0.547,0.417,,,,,,
PA,20,0.438,0.334,0.135,0.069,0.023,0.525,0.460,,,,,,
RI,4,0.407,0.389,0.074,0.087,0.044,0.634,0.346,,,,,,
SC,9,0.371,0.339,0.243,0.034,0.013,0.442,0.545,,,,,,
SD,3,0.424,0.443,0.015,0.044,0.074,0.403,0.574,,,,,,
TN,11,0.38,0.439,0.119,0.024,0.038,0.394,0.591,,,,,,
TX,38,0.34,0.26,0.135,0.215,0.05,0.423,0.563,,,,,,
UT,6,0.414,0.472,0.013,0.055,0.046,0.250,0.725,,,,,,
VT,3,0.5,0.426,0.009,0.024,0.041,0.662,0.314,,,,,,
VA,13,0.42,0.269,0.199,0.055,0.057,0.520,0.465,,,,,,
WA,12,0.375,0.364,0.03,0.108,0.123,0.566,0.408,,,,,,
WV,5,0.353,0.568,0.024,0.035,0.02,0.358,0.621,,,,,,
WI,10,0.397,0.455,0.072,0.043,0.033,0.532,0.455,,,,,,
WY,3,0.411,0.483,0.015,0.059,0.033,0.290,0.674,,,,,,
