Division,Line,Station_Name,Station_Latitude,Station_Longitude,Routes,Entrance_Type,Entry,Exit_Only,Vending,Staffing,Staff_Hours,ADA,ADA_Notes,Free_Crossover,North_South_Street,East_West_Street,Corner,Latitude,Longitude,disp_level
BMT,4 Avenue,95th St,40.616622,-74.030876,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,SW,40.616021,-74.031383,1
BMT,4 Avenue,95th St,40.616622,-74.030876,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,5th Ave,95th St,NE,40.615893,-74.03086,2
BMT,4 Avenue,95th St,40.616622,-74.030876,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,95th St,NW,40.616189,-74.031234,2
BMT,4 Avenue,95th St,40.616622,-74.030876,R,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,93th St,SW,40.617587,-74.030696,2
BMT,4 Avenue,95th St,40.616622,-74.030876,R,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,93th St,NE,40.617363,-74.030404,2
BMT,4 Avenue,86th St,40.622687,-74.028398,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SW,40.622656,-74.028547,1
BMT,4 Avenue,86th St,40.622687,-74.028398,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,86th St,SE,40.622583,-74.028315,2
BMT,4 Avenue,86th St,40.622687,-74.028398,R,Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,85th St,SW,40.623498,-74.028204,2
BMT,4 Avenue,77th St,40.629742,-74.02551,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NW,40.62955,-74.025731,1
BMT,4 Avenue,77th St,40.629742,-74.02551,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,77th St,NE,40.629503,-74.025452,2
BMT,4 Avenue,77th St,40.629742,-74.02551,R,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,76th St,NW,40.630221,-74.025459,2
BMT,4 Avenue,Bay Ridge Av,40.634967,-74.023377,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,Bay Ridge Ave,NW,40.634827,-74.02358,1
BMT,4 Avenue,Bay Ridge Av,40.634967,-74.023377,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,Bay Ridge Ave,NE,40.634768,-74.023339,2
BMT,4 Avenue,Bay Ridge Av,40.634967,-74.023377,R,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,4th Ave,68th St,NW,40.635468,-74.023313,2
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW,40.641606,-74.017897,1
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE,40.641435,-74.017561,2
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NW,40.641778,-74.017722,2
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,59th St,NE,40.641633,-74.017362,2
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SW,40.640682,-74.018857,2
BMT,4 Avenue,59th St,40.641362,-74.017881,"N,R",Stair,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,60th St,SE,40.640501,-74.018531,2
IRT,Lexington,Bowling Green,40.704817,-74.014065,"4,5",Elevator,YES,,YES,FULL,,TRUE,,TRUE,State,Battery Pl,SW,40.704659,-74.01392,1
IRT,Lexington,Bowling Green,40.704817,-74.014065,"4,5",Stair,YES,,YES,FULL,,TRUE,,TRUE,Broadway,Bowling Green,NW,40.704629,-74.013502,2
IRT,Lexington,Bowling Green,40.704817,-74.014065,"4,5",Stair,YES,,YES,NONE,,TRUE,,TRUE,Broadway,Battery Pl,NW,40.704825,-74.014572,2
IRT,Lexington,Bowling Green,40.704817,-74.014065,"4,5",Stair,YES,,YES,NONE,,TRUE,,TRUE,Broadway,Battery Pl,NW,40.704795,-74.014454,2
IRT,Lexington,Bowling Green,40.704817,-74.014065,"4,5",Stair,YES,,NO,NONE,,TRUE,,TRUE,State,Battery Pl,SW,40.704157,-74.014509,2
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW,40.644653,-74.01469,1
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE,40.644493,-74.014419,2
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SW,40.644756,-74.014586,2
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,53rd St,SE,40.644601,-74.014309,2
