year,country_id,country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Apr 2000,ARG,Argentina,2.50,1.00,2.50,1.00,-0.40
Apr 2001,ARG,Argentina,2.50,1.00,2.50,0.98,-1.57
Apr 2002,ARG,Argentina,2.50,3.13,0.78,1.00,-67.92
Apr 2003,ARG,Argentina,4.10,2.88,1.40,1.51,-47.47
Jan 2006,ARG,Argentina,4.75,3.06,1.55,1.51,-50.78
Jan 2007,ARG,Argentina,8.25,3.09,2.67,2.56,-17.05
Jan 2010,ARG,Argentina,7.00,3.80,1.84,1.96,-48.52
Jan 2012,ARG,Argentina,20.00,4.31,4.64,4.77,10.47
Jan 2013,ARG,Argentina,19.00,4.98,3.82,4.35,-12.58
Jan 2014,ARG,Argentina,21,6.92,3.03,4.54,-34.39
Jan 2015,ARG,Argentina,28,8.61,3.25,5.85,-32.11
Jan 2016,ARG,Argentina,33,13.81,2.39,6.7,-51.5
Jul 2009,ARG,Argentina,11.50,3.81,3.02,3.22,-15.48
Jul 2010,ARG,Argentina,14.00,3.93,3.56,3.75,-4.67
Jul 2011,ARG,Argentina,20.00,4.13,4.84,4.92,19.06
Jul 2012,ARG,Argentina,19.00,4.57,4.16,4.39,-3.85
Jul 2013,ARG,Argentina,21,5.41,3.88,4.61,-14.85
Jul 2014,ARG,Argentina,21,8.17,2.57,4.38,-46.39
Jul 2015,ARG,Argentina,28,9.14,3.07,5.85,-36.01
Jul 2016,ARG,Argentina,50,14.94,3.35,9.9,-33.6
Jun 2005,ARG,Argentina,4.75,2.90,1.64,1.55,-46.42
Jun 2007,ARG,Argentina,8.25,3.09,2.67,2.42,-21.74
Jun 2008,ARG,Argentina,11.00,3.02,3.64,3.08,2.04
May 2004,ARG,Argentina,4.36,2.95,1.48,1.50,-49.04
May 2006,ARG,Argentina,7.00,3.06,2.29,2.26,-26.12
Apr 2000,AUS,Australia,2.59,1.68,1.54,1.03,-38.58
Apr 2001,AUS,Australia,3.00,1.98,1.52,1.18,-40.35
Apr 2002,AUS,Australia,3.00,1.86,1.62,1.20,-35.22
Apr 2003,AUS,Australia,3.00,1.61,1.80,1.11,-31.24
Jan 2006,AUS,Australia,3.25,1.33,2.44,1.03,-22.47
Jan 2007,AUS,Australia,3.45,1.27,2.72,1.07,-15.43
Jan 2010,AUS,Australia,4.35,1.09,3.98,1.22,11.11
Jan 2012,AUS,Australia,4.80,0.97,4.94,1.14,17.61
Jan 2013,AUS,Australia,4.70,0.96,4.90,1.08,12.21
Jan 2014,AUS,Australia,5.05,1.13,4.47,1.09,-3.26
Jan 2015,AUS,Australia,5.3,1.23,4.32,1.11,-9.84
Jan 2016,AUS,Australia,5,1.42,3.74,1.1,-24.1
Jul 2009,AUS,Australia,4.34,1.29,3.37,1.22,-5.53
Jul 2010,AUS,Australia,4.35,1.13,3.84,1.17,2.77
Jul 2011,AUS,Australia,4.56,0.92,4.94,1.12,21.62
Jul 2012,AUS,Australia,4.56,0.97,4.68,1.05,8.15
Jul 2013,AUS,Australia,5.035,1.09,4.62,1.10,1.39
Jul 2014,AUS,Australia,5.1,1.06,4.81,1.06,0.40
Jul 2015,AUS,Australia,5.3,1.35,3.92,1.11,-18.12
Jul 2016,AUS,Australia,6,1.34,4.30,1.1,-14.6
Jun 2005,AUS,Australia,3.25,1.30,2.50,1.06,-18.39
Jun 2007,AUS,Australia,3.45,1.17,2.95,1.01,-13.53
Jun 2008,AUS,Australia,3.45,1.03,3.36,0.97,-5.81
May 2004,AUS,Australia,3.25,1.43,2.27,1.12,-21.63
May 2006,AUS,Australia,3.25,1.33,2.44,1.05,-21.32
Jan 2012,AUT,Austria,3.09,0.79,3.92,0.74,-6.60
Jan 2013,AUT,Austria,3.39,0.74,4.60,0.78,5.33
Jan 2014,AUT,Austria,3.39,0.74,4.60,0.73,-0.56
Jan 2015,AUT,Austria,3.39,0.86,3.93,0.71,-18.00
Jan 2016,AUT,Austria,4,0.93,3.76,0.7,-23.7
Jul 2011,AUT,Austria,3.09,0.70,4.43,0.76,8.98
Jul 2012,AUT,Austria,3.19,0.82,3.87,0.74,-10.63
Jul 2013,AUT,Austria,3.39,0.78,4.36,0.74,-4.34
Jul 2014,AUT,Austria,3.39,0.74,4.56,0.71,-4.81
Jul 2015,AUT,Austria,3.39,0.91,3.71,0.71,-22.46
Jul 2016,AUT,Austria,4,0.91,3.96,0.7,-21.4
Jan 2012,BEL,Belgium,3.70,0.79,4.69,0.88,11.84
Jan 2013,BEL,Belgium,3.80,0.74,5.16,0.87,18.07
Jan 2014,BEL,Belgium,3.95,0.74,5.36,0.85,15.87
Jan 2015,BEL,Belgium,3.7,0.86,4.29,0.77,-10.50
Jan 2016,BEL,Belgium,4,0.93,4.25,0.8,-13.9
Jul 2011,BEL,Belgium,3.75,0.70,5.38,0.92,32.26
Jul 2012,BEL,Belgium,3.80,0.82,4.61,0.88,6.46
Jul 2013,BEL,Belgium,3.7,0.78,4.76,0.81,4.40
Jul 2014,BEL,Belgium,3.7,0.74,4.98,0.77,3.89
Jul 2015,BEL,Belgium,3.7,0.91,4.05,0.77,-15.37
Jul 2016,BEL,Belgium,4,0.91,4.35,0.8,-13.7
Apr 2000,BRA,Brazil,2.95,1.79,1.65,1.18,-34.34
Apr 2001,BRA,Brazil,3.60,2.19,1.64,1.42,-35.28
Apr 2002,BRA,Brazil,3.60,2.34,1.55,1.45,-38.21
Apr 2003,BRA,Brazil,4.55,3.07,1.44,1.68,-45.31
Jan 2006,BRA,Brazil,6.20,2.26,2.74,1.97,-12.97
Jan 2007,BRA,Brazil,6.40,2.13,3.00,1.99,-6.84
Jan 2010,BRA,Brazil,8.20,1.72,4.76,2.29,32.91
Jan 2012,BRA,Brazil,10.25,1.81,5.68,2.44,35.30
Jan 2013,BRA,Brazil,11.25,1.99,5.64,2.58,29.22
Jan 2014,BRA,Brazil,12.4,2.36,5.25,2.68,13.48
Jan 2015,BRA,Brazil,13.5,2.59,5.21,2.82,8.70
Jan 2016,BRA,Brazil,14,4.02,3.35,2.7,-32.0
Jul 2009,BRA,Brazil,8.03,2.00,4.02,2.25,12.63
Jul 2010,BRA,Brazil,8.71,1.77,4.91,2.33,31.44
Jul 2011,BRA,Brazil,9.50,1.54,6.16,2.34,51.60
Jul 2012,BRA,Brazil,10.08,2.04,4.94,2.33,14.06
Jul 2013,BRA,Brazil,12,2.27,5.28,2.63,15.98
Jul 2014,BRA,Brazil,13,2.22,5.86,2.71,22.11
Jul 2015,BRA,Brazil,13.5,3.15,4.28,2.82,-10.59
Jul 2016,BRA,Brazil,16,3.24,4.78,3.1,-5.1
Jun 2005,BRA,Brazil,5.90,2.46,2.39,1.93,-21.77
Jun 2007,BRA,Brazil,6.90,1.91,3.61,2.02,5.77
Jun 2008,BRA,Brazil,7.50,1.58,4.73,2.10,32.58
May 2004,BRA,Brazil,5.40,3.18,1.70,1.86,-41.44
May 2006,BRA,Brazil,6.40,2.30,2.78,2.06,-10.41
Apr 2000,GBR,Britain,1.90,0.63,3.00,0.76,19.60
Apr 2001,GBR,Britain,1.99,0.70,2.85,0.78,12.04
Apr 2002,GBR,Britain,1.99,0.69,2.88,0.80,15.88
Apr 2003,GBR,Britain,1.99,0.63,3.08,0.73,16.02
Jan 2006,GBR,Britain,1.88,0.57,3.32,0.60,-5.01
Jan 2007,GBR,Britain,1.94,0.51,3.83,0.60,19.06
Jan 2010,GBR,Britain,2.29,0.62,3.67,0.64,2.55
Jan 2012,GBR,Britain,2.49,0.65,3.82,0.59,-8.91
Jan 2013,GBR,Britain,2.69,0.63,4.25,0.62,-2.73
Jan 2014,GBR,Britain,2.79,0.60,4.63,0.60,0.06
Jan 2015,GBR,Britain,2.89,0.66,4.37,0.60,-8.81
Jan 2016,GBR,Britain,3,0.68,4.22,0.6,-14.4
Jul 2009,GBR,Britain,2.29,0.62,3.69,0.64,-3.21
Jul 2010,GBR,Britain,2.29,0.66,3.48,0.61,-6.69
Jul 2011,GBR,Britain,2.39,0.61,3.89,0.59,-4.26
Jul 2012,GBR,Britain,2.69,0.65,4.16,0.62,-3.82
Jul 2013,GBR,Britain,2.69,0.67,4.02,0.59,-11.78
Jul 2014,GBR,Britain,2.89,0.59,4.93,0.60,2.71
Jul 2015,GBR,Britain,2.89,0.64,4.51,0.60,-5.79
Jul 2016,GBR,Britain,3,0.76,3.94,0.6,-21.8
Jun 2005,GBR,Britain,1.88,0.55,3.44,0.61,12.43
